,isin,bbticker,script_name,start_date,end_date
488,INE976A01021,WCPM IN Equity,WSTCSTPAPR,1900-01-01,9999-12-31
489,INE398A01010,WH IN Equity,VENKEYS,1900-01-01,9999-12-31
490,INE191B01025,WLCO IN Equity,WELCORP,1900-01-01,9999-12-31
491,INE335A01020,SYR IN Equity,SURYAROSNI,1900-01-01,9999-12-31
492,INE586B01026,TAJG IN Equity,TAJGVK,1900-01-01,9999-12-31
493,INE081A01020,TATA IN Equity,TATASTEEL,1900-01-01,9999-12-31
494,INE192A01025,TATACONS IN Equity,TATACONSUM,1900-01-01,9999-12-31
495,INE674A01014,TATASLPL IN Equity,TATASLPL,1900-01-01,2024-08-01
496,INE824B01021,TATASTL IN Equity,TATASTL,1900-01-01,2024-08-01
497,INE332A01027,TC IN Equity,THOMASCOOK,1900-01-01,9999-12-31
498,INE493A01027,TCO IN Equity,TCO,1900-01-01,2024-08-01
499,INE151A01013,TCOM IN Equity,TATACOMM,1900-01-01,9999-12-31
500,INE467B01029,TCS IN Equity,TCS,1900-01-01,9999-12-31
501,INE748C01038,III IN Equity,3IINFOLTD,1900-01-01,9999-12-31
502,INE138A01028,PENL IN Equity,PENINLAND,1900-01-01,9999-12-31
503,INE791I01019,BRGD IN Equity,BRIGADE,1900-01-01,9999-12-31
504,INE814H01011,ADANI IN Equity,ADANIPOWER,1900-01-01,9999-12-31
505,INE042H01019,BINC IN Equity,BINC,1900-01-01,2024-08-01
506,INE213C01025,BNCO IN Equity,BANCOINDIA,1900-01-01,9999-12-31
507,INE299C01024,KARG IN Equity,KARG,1900-01-01,2024-08-01
508,INE181G01025,AJRINFRA IN Equity,AJRINFRA,1900-01-01,2024-08-01
509,INE274J01014,OINL IN Equity,OIL,1900-01-01,9999-12-31
510,INE848E01016,NHPC IN Equity,NHPC,1900-01-01,9999-12-31
511,INE824G01012,SWH IN Equity,JSWHL,1900-01-01,9999-12-31
512,INE121E01018,JSW IN Equity,JSWENERGY,1900-01-01,9999-12-31
513,INE422C01014,TPC IN Equity,TPC,1900-01-01,2024-08-01
514,INE879I01012,DBREALTY IN Equity,DBREALTY,1900-01-01,9999-12-31
515,INE797F01020,JUBI IN Equity,JUBLFOOD,1900-01-01,9999-12-31
516,INE099J01015,JPIN IN Equity,JPIN,1900-01-01,2024-08-01
517,INE351F01018,JPVL IN Equity,JPPOWER,1900-01-01,9999-12-31
518,INE805D01034,SRIN IN Equity,SUNTECK,1900-01-01,9999-12-31
519,INE982F01036,HATH IN Equity,HATHWAY,1900-01-01,9999-12-31
520,INE538H01024,SACV IN Equity,SACV,1900-01-01,2024-08-01
521,INE102I01027,ALDS IN Equity,ADSL,1900-01-01,9999-12-31
522,INE573A01042,JKI IN Equity,JKTYRE,1900-01-01,9999-12-31
523,INE008I01026,COXK IN Equity,COXK,1900-01-01,2024-08-01
524,INE990B01012,KRI IN Equity,KRI,1900-01-01,2024-08-01
525,INE124G01033,DELTA IN Equity,DELTACORP,1900-01-01,9999-12-31
526,INE661I01014,BGRL IN Equity,BGRENERGY,1900-01-01,9999-12-31
527,INE548C01032,HMN IN Equity,EMAMILTD,1900-01-01,9999-12-31
528,INE484J01027,GPL IN Equity,GODREJPROP,1900-01-01,9999-12-31
529,INE247G01024,CETL IN Equity,CETL,1900-01-01,2024-08-01
530,INE193E01025,BJE IN Equity,BAJAJELEC,1900-01-01,9999-12-31
531,INE768C01010,ZYWL IN Equity,ZYDUSWELL,1900-01-01,9999-12-31
532,INE725E01024,OMDC IN Equity,ORISSAMINE,1900-01-01,9999-12-31
533,INE808B01016,OPTC IN Equity,OPTC,1900-01-01,2024-08-01
534,INE628H01015,ORB IN Equity,ORB,1900-01-01,2024-08-01
535,INE542F01012,RNAVAL IN Equity,RNAVAL,1900-01-01,2024-08-01
536,INE226H01026,SADE IN Equity,SADBHAV,1900-01-01,9999-12-31
537,INE522F01014,COAL IN Equity,COALINDIA,1900-01-01,9999-12-31
538,INE093I01010,OBER IN Equity,OBEROIRLTY,1900-01-01,9999-12-31
539,INE267I01010,ARSS IN Equity,ARSSINFRA,1900-01-01,9999-12-31
540,INE369I01014,IECC IN Equity,IL&FSENGG,1900-01-01,9999-12-31
541,INE811K01011,PEPL IN Equity,PRESTIGE,1900-01-01,9999-12-31
542,INE836F01026,DITV IN Equity,DISHTV,1900-01-01,9999-12-31
543,INE483A01010,CBOI IN Equity,CENTRALBK,1900-01-01,9999-12-31
544,INE143H01015,KSK IN Equity,KSK,1900-01-01,2024-08-01
545,INE562A01011,INBK IN Equity,INDIANB,1900-01-01,9999-12-31
546,INE243D01012,BFUT IN Equity,BFUTILITIE,1900-01-01,9999-12-31
547,INE180K01011,BHAFIN IN Equity,BHAFIN,1900-01-01,2024-08-01
548,INE680A01011,DHLBK IN Equity,DHANBANK,1900-01-01,9999-12-31
549,INE738I01010,ECLX IN Equity,ECLERX,1900-01-01,9999-12-31
550,INE503A01015,DCBB IN Equity,DCBBANK,1900-01-01,9999-12-31
551,INE202B01012,DEWH IN Equity,DEWH,1900-01-01,2024-08-01
552,INE212H01026,AIAE IN Equity,AIAENG,1900-01-01,9999-12-31
553,INE517F01014,GPPV IN Equity,GPPL,1900-01-01,9999-12-31
554,INE870H01013,NETM IN Equity,NETWORK18,1900-01-01,9999-12-31
555,INE333I01036,NEUTL IN Equity,NEUTL,1900-01-01,2024-08-01
556,INE262H01021,PSYS IN Equity,PERSISTENT,1900-01-01,9999-12-31
557,INE761H01022,PAG IN Equity,PAGEIND,1900-01-01,9999-12-31
558,INE399K01017,RTPOW IN Equity,RTNPOWER,1900-01-01,9999-12-31
559,INE648A01026,SBBJ IN Equity,SBBJ,1900-01-01,2024-08-01
560,INE654A01024,SBTR IN Equity,SBTR,1900-01-01,2024-08-01
561,INE220J01025,FCON IN Equity,FCON,1900-01-01,2024-08-01
562,INE744I01034,MVLL IN Equity,MVLL,1900-01-01,2024-08-01
563,INE091G01018,JBIL IN Equity,JAIBALAJI,1900-01-01,9999-12-31
564,INE498L01015,LTF IN Equity,LTF,1900-01-01,9999-12-31
565,INE416L01017,EROS IN Equity,EROSMEDIA,1900-01-01,9999-12-31
566,INE968D01022,ARSL IN Equity,ARSHIYA,1900-01-01,9999-12-31
567,INE306B01029,AURFI IN Equity,AURFI,1900-01-01,2024-08-01
568,INE576I01022,JKIL IN Equity,JKIL,1900-01-01,9999-12-31
569,INE775B01025,KWALITY IN Equity,KWALITY,1900-01-01,2024-08-01
570,INE597L01014,LLL IN Equity,LOVABLE,1900-01-01,9999-12-31
571,INE725G01011,ICRA IN Equity,ICRA,1900-01-01,9999-12-31
572,INE414G01012,MUTH IN Equity,MUTHOOTFIN,1900-01-01,9999-12-31
573,INE419M01027,TDPS IN Equity,TDPOWERSYS,1900-01-01,9999-12-31
574,INE286K01024,TEEC IN Equity,TEEC,1900-01-01,2024-08-01
575,INE040M01013,THEAL IN Equity,TREEHOUSE,1900-01-01,9999-12-31
576,INE874I01013,RMKY IN Equity,RAMKY,1900-01-01,9999-12-31
577,INE696A01025,UB IN Equity,UB,1900-01-01,2024-08-01
578,INE603A01013,PKI IN Equity,PRAKASH,1900-01-01,9999-12-31
579,INE420C01059,PAISALO IN Equity,PAISALO,1900-01-01,9999-12-31
580,INE949H01023,MINF IN Equity,MANINFRA,1900-01-01,9999-12-31
581,INE549I01011,2299371D IN Equity,2299371D,1900-01-01,2024-08-01
582,INE152B01027,ACLGATI IN Equity,ACLGATI,1900-01-01,9999-12-31
583,INE060J01017,FLEXI IN Equity,FLEXITUFF,1900-01-01,9999-12-31
584,INE087J01028,GBGLOBAL IN Equity,GBGLOBAL,1900-01-01,2024-08-01
585,INE050A01025,BBTC IN Equity,BBTC,1900-01-01,9999-12-31
586,INE558B01017,MCF IN Equity,MANGCHEFER,1900-01-01,9999-12-31
587,INE718H01014,AUTOL IN Equity,AUTOIND,1900-01-01,9999-12-31
588,INE187A01017,JBF IN Equity,JBF,1900-01-01,2024-08-01
589,INE787D01026,BIL IN Equity,BALKRISIND,1900-01-01,9999-12-31
590,INE851B01016,SLCL IN Equity,SLCL,1900-01-01,2024-08-01
591,INE550H01011,SPII IN Equity,SUPREMEINF,1900-01-01,9999-12-31
592,INE367G01038,PRIF IN Equity,PFOCUS,1900-01-01,9999-12-31
593,INE690A01028,TTKPT IN Equity,TTKPRESTIG,1900-01-01,9999-12-31
594,INE051B01021,VKI IN Equity,VAKRANGEE,1900-01-01,9999-12-31
595,INE722A01011,SCUF IN Equity,SCUF,1900-01-01,2024-08-01
596,INE490G01020,MOIL IN Equity,MOIL,1900-01-01,9999-12-31
597,INE975G01012,ILFT IN Equity,IL&FSTRANS,1900-01-01,9999-12-31
598,INE919H01018,IMFA IN Equity,IMFA,1900-01-01,9999-12-31
599,INE591G01017,COFORGE IN Equity,COFORGE,1900-01-01,9999-12-31
600,INE232I01014,SPADV IN Equity,SPARC,1900-01-01,9999-12-31
601,INE192B01031,WELSPUNL IN Equity,WELSPUNLIV,1900-01-01,9999-12-31
602,INE191H01014,PVRINOX IN Equity,PVRINOX,1900-01-01,9999-12-31
603,INE912L01015,OCAP IN Equity,ONELIFECAP,1900-01-01,9999-12-31
604,INE665A01038,SWAN IN Equity,SWANENERGY,1900-01-01,9999-12-31
605,INE760L01018,TBZL IN Equity,TBZ,1900-01-01,9999-12-31
606,INE371D01029,GEOD IN Equity,GEOD,1900-01-01,2024-08-01
607,INE524A01029,GABR IN Equity,GABRIEL,1900-01-01,9999-12-31
608,INE580B01029,GRHF IN Equity,GRHF,1900-01-01,2024-08-01
609,INE531E01026,HCP IN Equity,HINDCOPPER,1900-01-01,9999-12-31
610,INE928K01013,DDLL IN Equity,DDLL,1900-01-01,2024-08-01
611,INE947J01015,DEN IN Equity,DEN,1900-01-01,9999-12-31
612,INE950I01011,DBCL IN Equity,DBCORP,1900-01-01,9999-12-31
613,INE121J01017,INDUSTOW IN Equity,INDUSTOWER,1900-01-01,9999-12-31
614,INE144J01027,20ML IN Equity,20MICRONS,1900-01-01,9999-12-31
615,INE486J01014,ICSL IN Equity,ICSL,1900-01-01,2024-08-01
616,INE825H01017,EDA IN Equity,EDA,1900-01-01,2024-08-01
617,INE094I01018,KPDL IN Equity,KOLTEPATIL,1900-01-01,9999-12-31
618,INE455I01029,KSCL IN Equity,KSCL,1900-01-01,9999-12-31
619,INE993A01026,MAN IN Equity,MANINDS,1900-01-01,9999-12-31
620,INE998I01010,MHRL IN Equity,MHRIL,1900-01-01,9999-12-31
621,INE288A01013,MHSC IN Equity,MAHSCOOTER,1900-01-01,9999-12-31
622,INE123F01029,MMTC IN Equity,MMTC,1900-01-01,9999-12-31
623,INE472M01018,MTEL IN Equity,MTEDUCARE,1900-01-01,9999-12-31
624,INE401H01017,KEKC IN Equity,KKCL,1900-01-01,9999-12-31
625,INE077A01010,DBNK/F IN Equity,DBNK/F,1900-01-01,2024-08-01
